,Country,EdLevel,CodingExperiance,Salary
2,United Kingdom of Great Britain and Northern Ireland,Masters,5.0,40205.0
8,Netherlands,Masters,6.0,49056.0
10,United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,60307.0
12,United States of America,Bachelor,5.0,65000.0
21,Italy,Masters,4.0,34126.0
22,Canada,less than bachelor's,20.0,97605.0
25,Germany,Masters,9.0,90647.0
26,United States of America,Bachelor,5.0,106960.0
28,United States of America,Masters,14.0,130000.0
31,United States of America,Bachelor,21.0,102000.0
40,United States of America,less than bachelor's,15.0,130000.0
47,United States of America,Bachelor,5.0,135000.0
48,Germany,less than bachelor's,25.0,106644.0
49,Germany,less than bachelor's,4.0,51192.0
51,Poland,Bachelor,3.0,38856.0
53,United States of America,Bachelor,10.0,170000.0
55,United States of America,Masters,5.0,141000.0
57,Netherlands,Bachelor,8.0,46704.0
59,Germany,Bachelor,2.0,63986.0
60,Canada,Bachelor,4.0,66372.0
62,France,PostGrad,14.0,74651.0
63,United States of America,Bachelor,12.0,150000.0
66,Brazil,Masters,20.0,24924.0
73,Germany,Bachelor,2.0,63986.0
74,Sweden,Bachelor,6.0,50220.0
76,United States of America,Masters,20.0,160000.0
79,France,Masters,10.0,87448.0
84,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,69102.0
85,United States of America,Bachelor,7.0,95000.0
87,Spain,Bachelor,8.0,95979.0
88,Germany,Masters,6.0,71451.0
89,Sweden,Bachelor,5.0,57288.0
90,France,Masters,5.0,63986.0
91,France,Masters,19.0,63986.0
93,United States of America,Masters,5.0,166000.0
94,United Kingdom of Great Britain and Northern Ireland,PostGrad,3.0,52769.0
95,United States of America,Bachelor,4.0,92000.0
102,United Kingdom of Great Britain and Northern Ireland,Bachelor,4.0,47743.0
105,Italy,Bachelor,5.0,93420.0
107,United States of America,less than bachelor's,5.0,35000.0
108,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,75384.0
109,Spain,less than bachelor's,8.0,44790.0
111,United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,78525.0
112,Poland,Masters,20.0,76313.0
115,United States of America,Bachelor,3.0,110000.0
120,Canada,Bachelor,4.0,66372.0
121,Sweden,Masters,4.0,81672.0
123,Italy,less than bachelor's,12.0,21120.0
126,Canada,Bachelor,5.0,78084.0
132,United States of America,Bachelor,5.0,98000.0
133,United States of America,Bachelor,24.0,144000.0
135,United Kingdom of Great Britain and Northern Ireland,Bachelor,20.0,123127.0
144,Canada,Bachelor,1.0,35138.0
145,United Kingdom of Great Britain and Northern Ireland,Masters,11.0,80409.0
151,India,Bachelor,12.0,15480.0
155,United States of America,Bachelor,1.0,132000.0
158,Germany,PostGrad,7.0,92136.0
160,Netherlands,Bachelor,3.0,38388.0
161,Germany,Bachelor,23.0,165298.0
164,United States of America,Bachelor,15.0,136000.0
167,United Kingdom of Great Britain and Northern Ireland,Masters,5.0,54025.0
171,United States of America,Bachelor,0.5,130000.0
172,United Kingdom of Great Britain and Northern Ireland,Bachelor,18.0,136947.0
178,Poland,less than bachelor's,6.0,41625.0
183,United Kingdom of Great Britain and Northern Ireland,Masters,7.0,118729.0
192,United States of America,Bachelor,3.0,110000.0
193,United States of America,less than bachelor's,1.0,70000.0
196,India,Bachelor,5.0,58037.0
203,France,Masters,4.0,52789.0
204,United States of America,Masters,4.0,100000.0
205,United States of America,less than bachelor's,10.0,120000.0
207,United Kingdom of Great Britain and Northern Ireland,Bachelor,8.0,60307.0
